modelo,condicao,indice,variacao_escolhida,score_composto,lev_sim,mos_principal,mos_principal_fonte,arquivo,texto_original,texto_transcrito,duracao_s,lev_dist,mosanet_mos,nisqa_overall,nisqa_noisiness,nisqa_discontinuity,nisqa_coloration,nisqa_loudness,dns_sig,dns_bak,dns_ovrl,status,erro,lev_norm01,mos_norm01
fishspeech,original,55,v1,1.0,1.0,4.0866,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\055.wav,A estudante apresentou seu trabalho com confiança.,A estudante apresentou seu trabalho com confiança.,4.598,0,,4.0866,3.6845,4.5452,4.0389,4.335,3.9616,3.666,4.1517,ok,,1.0,
fishspeech,original,56,v2,1.0,1.0,4.1632,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\056.wav,Na semana passada houve uma queda de energia que afetou vários bairros da cidade.,Na semana passada houve uma queda de energia que afetou vários bairros da cidade.,6.037,0,,4.1632,3.6522,4.4145,4.1813,4.3559,3.9733,3.7236,4.1578,ok,,1.0,
fishspeech,original,57,v3,0.7778,0.7778,2.7034,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\057.wav,Ainda falta muito?,"Resina, falta muito!",1.533,4,,2.7034,2.4493,2.8318,2.8229,3.5803,3.5337,3.3988,3.4581,ok,,0.7778,
fishspeech,original,58,v3,1.0,1.0,4.0972,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\058.wav,O jardineiro passou boa parte da manhã cuidando das plantas do condomínio.,O jardineiro passou boa parte da manhã cuidando das plantas do condomínio.,5.851,0,,4.0972,3.0388,4.3659,4.1688,4.3773,3.8247,3.7343,4.0794,ok,,1.0,
fishspeech,original,59,v1,1.0,1.0,4.0817,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\059.wav,O evento foi um sucesso.,O evento foi um sucesso.,1.904,0,,4.0817,3.5024,4.2553,3.8442,4.1291,3.5095,3.5112,3.8392,ok,,1.0,
fishspeech,original,60,v3,1.0,1.0,4.1321,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\060.wav,Meu irmão chegou em casa pouco antes do jantar.,Meu irmão chegou em casa pouco antes do jantar.,3.39,0,,4.1321,3.5443,4.4073,4.0184,4.3248,3.7058,3.6145,3.5551,ok,,1.0,
fishspeech,original,61,v2,0.3226,0.3226,1.8556,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\061.wav,A reunião começou às nove horas.,Não é? Não mora.,4.226,21,,1.8556,1.8172,3.983,3.5323,3.2574,2.6655,3.214,2.5214,ok,,0.3226,
fishspeech,original,62,v3,0.8876,0.8876,2.643,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\062.wav,"Quando a chuva diminuiu, as pessoas voltaram gradualmente para as áreas externas do parque.",O que se ouva diminuiu? As pessoas voltaram gradualmente para as áreas externas do parque.,11.471,10,,2.643,2.2714,4.0478,3.28,3.476,3.3607,3.4908,3.2943,ok,,0.8876,
fishspeech,original,63,v2,0.2439,0.2439,1.9001,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\063.wav,Você já terminou a leitura daquele artigo?,Eu... eu... eu... Eu... Eu... eu... Eu... Eu...,13.978,31,,1.9001,1.875,3.7411,2.3532,2.7595,2.835,2.9811,3.0871,ok,,0.2439,
fishspeech,original,64,v2,0.6562,0.6562,2.3351,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\064.wav,O avião pousou sem atrasos.,Não habíamos pousado sem atrasos.,3.483,11,,2.3351,1.8253,4.4489,3.6672,3.3524,2.8586,3.5667,3.14,ok,,0.6562,
fishspeech,original,65,v3,1.0,1.0,2.6869,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\065.wav,"Apesar das dificuldades iniciais, conseguimos concluir todas as etapas previstas para esta fase.",Apesar das dificuldades iniciais conseguimos concluir todas as etapas previstas para esta fase.,22.059,0,,2.6869,1.9919,3.9511,3.3314,3.3512,2.8998,3.367,3.3072,ok,,1.0,
fishspeech,original,66,v1,1.0,1.0,2.305,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\066.wav,O atendimento foi rápido.,O atendimento foi rápido.,1.718,0,,2.305,1.6797,4.0693,3.0934,3.3641,2.8262,3.4042,1.813,ok,,1.0,
fishspeech,original,67,v1,0.7604,0.7604,1.9971,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\067.wav,A banda ensaiou durante toda a tarde para a apresentação marcada para o fim de semana.,"E no iPhone, a venência é eu durante toda a tarde com a apresentação marcada para o fim de semana.",6.873,23,,1.9971,1.808,4.1488,3.0072,2.5168,2.9252,3.4579,3.0378,ok,,0.7604,
fishspeech,original,68,v1,1.0,1.0,2.8772,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\068.wav,O celular descarregou no meio da viagem.,O celular descarregou no meio da viagem.,3.855,0,,2.8772,2.2038,4.2566,3.7637,3.4397,2.9528,3.4404,2.2566,ok,,1.0,
fishspeech,original,69,v3,1.0,1.0,2.9363,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\069.wav,Que notícia excelente!,Que notícia excelente!,1.765,0,,2.9363,2.1584,4.1879,3.1444,3.4469,3.1977,3.2733,2.9982,ok,,1.0,
fishspeech,original,70,v2,1.0,1.0,2.8675,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\070.wav,O pescador retornou ao porto trazendo uma quantidade inesperadamente grande de peixes.,"O pescador retornou ao porto, trazendo uma quantidade inesperadamente grande de peixes.",14.396,0,,2.8675,2.0119,4.1594,3.6076,3.7091,2.85,3.3059,2.9311,ok,,1.0,
fishspeech,original,71,v2,1.0,1.0,4.2033,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\071.wav,O médico chegou pontualmente.,O médico chegou pontualmente.,2.043,0,,4.2033,3.9152,4.5035,4.1178,4.4664,3.5248,3.3606,3.5092,ok,,1.0,
fishspeech,original,72,v1,1.0,1.0,4.2497,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\072.wav,Você sabe qual é o número da sala onde acontecerá a entrevista?,Você sabe qual é o número da sala onde acontecerá a entrevista?,3.947,0,,4.2497,4.1675,4.5217,4.0014,4.4595,3.8746,3.4615,3.7755,ok,,1.0,
fishspeech,original,73,v2,1.0,1.0,3.8898,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\073.wav,O pôr do sol estava especialmente bonito hoje.,O pôr do sol estava especialmente bonito hoje.,3.019,0,,3.8898,3.7892,4.3088,4.0206,4.2096,3.8048,3.421,3.3373,ok,,1.0,
fishspeech,original,74,v3,1.0,1.0,4.0258,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\074.wav,"Depois do almoço, resolvemos caminhar sem pressa pelas ruas mais antigas da cidade.","Depois do almoço, resolvemos caminhar sem pressa pelas ruas mais antigas da cidade.",5.991,0,,4.0258,3.8388,4.4547,3.9867,4.3091,3.9703,3.5139,4.0016,ok,,1.0,
fishspeech,original,75,v2,0.4375,0.4375,4.3005,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\075.wav,O ônibus atrasou alguns minutos.,O orbo está de jovem uns minutos.,2.322,18,,4.3005,4.2129,4.5337,4.1726,4.4375,3.7883,3.4962,3.4471,ok,,0.4375,
fishspeech,original,76,v2,1.0,1.0,3.7948,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\076.wav,A professora respondeu às dúvidas dos alunos antes do encerramento da aula.,A professora respondeu às dúvidas dos alunos antes do encerramento da aula.,7.012,0,,3.7948,3.8833,4.387,3.9119,3.9818,3.9932,3.5511,4.0531,ok,,1.0,
fishspeech,original,77,v3,0.8421,0.8421,3.2128,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\077.wav,Já está tudo pronto?,Cá tá tudo pronto.,1.254,3,,3.2128,3.8498,4.2622,2.5098,3.2057,2.8936,3.3724,3.7066,ok,,0.8421,
fishspeech,original,78,v2,1.0,1.0,3.865,nisqa_overall,fishspeech\outputs_final_experiment\original\v2\078.wav,O técnico realizou uma inspeção detalhada em todos os equipamentos disponíveis.,O técnico realizou uma inspeção detalhada em todos os equipamentos disponíveis.,10.031,0,,3.865,4.0314,4.2806,3.864,4.0321,4.0346,3.6318,4.1398,ok,,1.0,
fishspeech,original,79,v1,0.9524,0.9524,3.8084,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\079.wav,A fila estava enorme.,A filha estava enorme.,1.625,1,,3.8084,3.924,4.4204,3.8995,3.9676,3.6108,3.5294,3.5696,ok,,0.9524,
fishspeech,original,80,v3,1.0,1.0,4.1444,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\080.wav,O visitante demonstrou bastante interesse pelas atividades desenvolvidas no laboratório.,O visitante demonstrou bastante interesse pelas atividades desenvolvidas no laboratório.,6.595,0,,4.1444,3.9205,4.4861,4.0339,4.3653,3.9978,3.5321,3.9731,ok,,1.0,
fishspeech,original,81,v3,0.5357,0.5357,3.761,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\081.wav,Hoje foi um dia tranquilo.,Qual foi o fanguei tranquilo?,1.486,13,,3.761,2.9245,4.3609,3.9801,4.1846,3.6538,3.4382,3.4921,ok,,0.5357,
fishspeech,original,82,v3,0.9506,0.9506,3.864,nisqa_overall,fishspeech\outputs_final_experiment\original\v3\082.wav,O casal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,O quezal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,6.455,4,,3.864,3.8155,4.4011,3.8439,4.1066,3.5342,3.5594,4.0396,ok,,0.9506,
fishspeech,original,83,v1,0.9412,0.9412,4.1665,nisqa_overall,fishspeech\outputs_final_experiment\original\v1\083.wav,Você ouviu aquele barulho estranho?,Você viu aquele barulho estranho?,2.276,2,,4.1665,3.1579,4.4284,4.0557,4.1795,3.4793,3.2341,3.8229,ok,,0.9412,
