modelo,condicao,variacao,indice,arquivo,texto_original,texto_transcrito,duracao_s,lev_dist,lev_sim,status,erro
fishspeech,original,v1,21,fishspeech/outputs_final_experiment/original/v1/021.wav,O professor pediu que os alunos entregassem os trabalhos até a próxima semana.,O professor pediu que os alunos entregassem os trabalhos até a próxima semana.,2.992,6,0.9211,ok,
fishspeech,original,v1,22,fishspeech/outputs_final_experiment/original/v1/022.wav,Eu não esperava encontrar tanta gente naquele horário.,Eu não esperava encontrar tanta gente naquele horário.,2.664,0,1.0,ok,
fishspeech,original,v1,23,fishspeech/outputs_final_experiment/original/v1/023.wav,Qual foi a primeira cidade que você visitou durante as férias?,Qual foi a primeira cidade que você visitou durante as férias?,5.382,4,0.9415,ok,
fishspeech,original,v1,24,fishspeech/outputs_final_experiment/original/v1/024.wav,"Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas.","Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas.",2.805,7,0.9014,ok,
fishspeech,original,v1,25,fishspeech/outputs_final_experiment/original/v1/025.wav,O cachorro correu até o portão assim que ouviu o carro se aproximando.,O cachorro correu até o portão assim que ouviu o carro se aproximando.,5.256,9,0.8768,ok,
fishspeech,original,v1,26,fishspeech/outputs_final_experiment/original/v1/026.wav,Você sabe onde fica a biblioteca central?,(ininteligível),2.235,29,0.2723,ok,
fishspeech,original,v1,27,fishspeech/outputs_final_experiment/original/v1/027.wav,O relatório foi concluído.,O relatório foi concluído.,5.846,3,0.8942,ok,
fishspeech,original,v1,28,fishspeech/outputs_final_experiment/original/v1/028.wav,"Durante a madrugada, o vento ficou mais forte e algumas árvores balançavam constantemente.",(ininteligível),2.548,83,0.0567,ok,
fishspeech,original,v1,29,fishspeech/outputs_final_experiment/original/v1/029.wav,Que horas são agora?,(ininteligível),4.323,13,0.3006,ok,
fishspeech,original,v1,30,fishspeech/outputs_final_experiment/original/v1/030.wav,A médica explicou com calma cada etapa do tratamento recomendado.,A médica explicou com calma cada etapa do tratamento recomendado.,3.123,3,0.9562,ok,
fishspeech,original,v1,31,fishspeech/outputs_final_experiment/original/v1/031.wav,O grupo decidiu antecipar a saída.,O grupo decidiu antecipar a saída.,2.635,0,1.0,ok,
fishspeech,original,v1,32,fishspeech/outputs_final_experiment/original/v1/032.wav,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.","Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.",2.643,5,0.955,ok,
fishspeech,original,v1,33,fishspeech/outputs_final_experiment/original/v1/033.wav,O restaurante estava lotado.,O restaurante estava lotado.,2.397,0,1.0,ok,
fishspeech,original,v1,34,fishspeech/outputs_final_experiment/original/v1/034.wav,Você já assistiu ao filme que foi lançado na semana passada?,Você já assistiu ao filme que foi lançado na semana passada?,2.097,11,0.8079,ok,
fishspeech,original,v1,35,fishspeech/outputs_final_experiment/original/v1/035.wav,"Depois de vários testes, conseguimos identificar a origem do problema.","Depois de vários testes, conseguimos identificar a origem do problema.",5.281,6,0.9057,ok,
fishspeech,original,v1,36,fishspeech/outputs_final_experiment/original/v1/036.wav,A praia estava praticamente vazia naquela manhã de terça-feira.,A praia estava praticamente vazia naquela manhã de terça-feira.,1.717,7,0.8939,ok,
fishspeech,original,v1,37,fishspeech/outputs_final_experiment/original/v1/037.wav,O resultado saiu mais cedo do que imaginávamos.,O resultado saiu mais cedo do que imaginávamos.,3.972,0,1.0,ok,
fishspeech,original,v1,38,fishspeech/outputs_final_experiment/original/v1/038.wav,Eu precisava apenas de alguns minutos para terminar aquela tarefa.,Eu precisava apenas de alguns minutos para terminar aquela tarefa.,2.671,5,0.9206,ok,
fishspeech,original,v1,39,fishspeech/outputs_final_experiment/original/v1/039.wav,A apresentação terminou com aplausos.,A apresentação terminou com aplausos.,1.908,2,0.9509,ok,
fishspeech,original,v1,40,fishspeech/outputs_final_experiment/original/v1/040.wav,Você pretende viajar durante o feriado?,(ininteligível),2.066,33,0.1333,ok,
fishspeech,original,v1,41,fishspeech/outputs_final_experiment/original/v1/041.wav,O elevador parou no décimo segundo andar.,(ininteligível),3.63,29,0.2629,ok,
fishspeech,original,v1,42,fishspeech/outputs_final_experiment/original/v1/042.wav,"Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.","Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.",4.942,7,0.9172,ok,
fishspeech,original,v1,43,fishspeech/outputs_final_experiment/original/v1/043.wav,O mercado fecha às oito horas da noite.,O mercado fecha às oito horas da noite.,4.123,1,0.9851,ok,
fishspeech,original,v1,44,fishspeech/outputs_final_experiment/original/v1/044.wav,A criança ficou observando atentamente os peixes coloridos dentro do aquário.,A criança ficou observando atentamente os peixes coloridos dentro do aquário.,1.598,6,0.918,ok,
fishspeech,original,v1,45,fishspeech/outputs_final_experiment/original/v1/045.wav,Você conseguiu falar com o responsável?,Você conseguiu falar com o responsável?,2.423,3,0.926,ok,
fishspeech,original,v1,46,fishspeech/outputs_final_experiment/original/v1/046.wav,O motorista precisou escolher uma rota alternativa para evitar um grande congestionamento.,O motorista precisou escolher uma rota alternativa para evitar um grande congestionamento.,3.271,4,0.9567,ok,
fishspeech,original,v1,47,fishspeech/outputs_final_experiment/original/v1/047.wav,Hoje acordei mais cedo.,Hoje acordei mais cedo.,1.644,0,1.0,ok,
fishspeech,original,v1,48,fishspeech/outputs_final_experiment/original/v1/048.wav,O pesquisador apresentou resultados preliminares bastante promissores durante o seminário.,O pesquisador apresentou resultados preliminares bastante promissores durante o seminário.,3.446,3,0.9704,ok,
fishspeech,original,v1,49,fishspeech/outputs_final_experiment/original/v1/049.wav,Parece que vai chover novamente.,(ininteligível),2.657,29,0.0688,ok,
fishspeech,original,v1,50,fishspeech/outputs_final_experiment/original/v1/050.wav,Qual é a melhor maneira de chegar ao centro da cidade?,Qual é a melhor maneira de chegar ao centro da cidade?,1.609,8,0.8502,ok,
fishspeech,original,v1,51,fishspeech/outputs_final_experiment/original/v1/051.wav,O sistema voltou a funcionar normalmente.,O sistema voltou a funcionar normalmente.,2.975,2,0.9398,ok,
fishspeech,original,v1,52,fishspeech/outputs_final_experiment/original/v1/052.wav,"Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.","Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.",1.878,3,0.9691,ok,
fishspeech,original,v1,53,fishspeech/outputs_final_experiment/original/v1/053.wav,O livro estava sobre a mesa.,O livro estava sobre a mesa.,3.178,2,0.9124,ok,
fishspeech,original,v1,54,fishspeech/outputs_final_experiment/original/v1/054.wav,Você poderia verificar se a porta foi realmente trancada antes de sairmos?,Você poderia verificar se a porta foi realmente trancada antes de sairmos?,1.96,11,0.8425,ok,
fishspeech,original,v1,55,fishspeech/outputs_final_experiment/original/v1/055.wav,A estudante apresentou seu trabalho com confiança.,A estudante apresentou seu trabalho com confiança.,5.0,5,0.8932,ok,
fishspeech,original,v1,56,fishspeech/outputs_final_experiment/original/v1/056.wav,Na semana passada houve uma queda de energia que afetou vários bairros da cidade.,(ininteligível),2.333,68,0.1482,ok,
fishspeech,original,v1,57,fishspeech/outputs_final_experiment/original/v1/057.wav,Ainda falta muito?,Ainda falta muito?,5.789,1,0.9211,ok,
fishspeech,original,v1,58,fishspeech/outputs_final_experiment/original/v1/058.wav,O jardineiro passou boa parte da manhã cuidando das plantas do condomínio.,O jardineiro passou boa parte da manhã cuidando das plantas do condomínio.,5.473,4,0.9518,ok,
fishspeech,original,v1,59,fishspeech/outputs_final_experiment/original/v1/059.wav,O evento foi um sucesso.,O evento foi um sucesso.,3.707,1,0.9514,ok,
fishspeech,original,v1,60,fishspeech/outputs_final_experiment/original/v1/060.wav,Meu irmão chegou em casa pouco antes do jantar.,Meu irmão chegou em casa pouco antes do jantar.,2.499,1,0.9769,ok,
fishspeech,original,v1,61,fishspeech/outputs_final_experiment/original/v1/061.wav,A reunião começou às nove horas.,(ininteligível),1.672,24,0.2187,ok,
fishspeech,original,v1,62,fishspeech/outputs_final_experiment/original/v1/062.wav,"Quando a chuva diminuiu, as pessoas voltaram gradualmente para as áreas externas do parque.",(ininteligível),2.559,68,0.2357,ok,
fishspeech,original,v1,63,fishspeech/outputs_final_experiment/original/v1/063.wav,Você já terminou a leitura daquele artigo?,Você já terminou a leitura daquele artigo?,4.999,0,1.0,ok,
fishspeech,original,v1,64,fishspeech/outputs_final_experiment/original/v1/064.wav,O avião pousou sem atrasos.,O avião pousou sem atrasos.,2.243,0,1.0,ok,
fishspeech,original,v1,65,fishspeech/outputs_final_experiment/original/v1/065.wav,"Apesar das dificuldades iniciais, conseguimos concluir todas as etapas previstas para esta fase.","Apesar das dificuldades iniciais, conseguimos concluir todas as etapas previstas para esta fase.",2.936,7,0.9252,ok,
fishspeech,original,v1,66,fishspeech/outputs_final_experiment/original/v1/066.wav,O atendimento foi rápido.,O atendimento foi rápido.,5.471,3,0.8681,ok,
fishspeech,original,v1,67,fishspeech/outputs_final_experiment/original/v1/067.wav,A banda ensaiou durante toda a tarde para a apresentação marcada para o fim de semana.,A banda ensaiou durante toda a tarde para a apresentação marcada para o fim de semana.,2.641,0,1.0,ok,
fishspeech,original,v1,68,fishspeech/outputs_final_experiment/original/v1/068.wav,O celular descarregou no meio da viagem.,O celular descarregou no meio da viagem.,1.6,2,0.9404,ok,
fishspeech,original,v1,69,fishspeech/outputs_final_experiment/original/v1/069.wav,Que notícia excelente!,Que notícia excelente!,4.372,1,0.9433,ok,
fishspeech,original,v1,70,fishspeech/outputs_final_experiment/original/v1/070.wav,O pescador retornou ao porto trazendo uma quantidade inesperadamente grande de peixes.,O pescador retornou ao porto trazendo uma quantidade inesperadamente grande de peixes.,3.892,5,0.9423,ok,
fishspeech,original,v1,71,fishspeech/outputs_final_experiment/original/v1/071.wav,O médico chegou pontualmente.,O médico chegou pontualmente.,2.851,1,0.9496,ok,
fishspeech,original,v1,72,fishspeech/outputs_final_experiment/original/v1/072.wav,Você sabe qual é o número da sala onde acontecerá a entrevista?,Você sabe qual é o número da sala onde acontecerá a entrevista?,4.873,2,0.9739,ok,
fishspeech,original,v1,73,fishspeech/outputs_final_experiment/original/v1/073.wav,O pôr do sol estava especialmente bonito hoje.,O pôr do sol estava especialmente bonito hoje.,2.562,1,0.9687,ok,
fishspeech,original,v1,74,fishspeech/outputs_final_experiment/original/v1/074.wav,"Depois do almoço, resolvemos caminhar sem pressa pelas ruas mais antigas da cidade.","Depois do almoço, resolvemos caminhar sem pressa pelas ruas mais antigas da cidade.",5.359,2,0.9713,ok,
fishspeech,original,v1,75,fishspeech/outputs_final_experiment/original/v1/075.wav,O ônibus atrasou alguns minutos.,O ônibus atrasou alguns minutos.,1.687,2,0.9376,ok,
fishspeech,original,v1,76,fishspeech/outputs_final_experiment/original/v1/076.wav,A professora respondeu às dúvidas dos alunos antes do encerramento da aula.,A professora respondeu às dúvidas dos alunos antes do encerramento da aula.,2.426,4,0.9524,ok,
fishspeech,original,v1,77,fishspeech/outputs_final_experiment/original/v1/077.wav,Já está tudo pronto?,Já está tudo pronto?,2.655,2,0.9209,ok,
fishspeech,original,v1,78,fishspeech/outputs_final_experiment/original/v1/078.wav,O técnico realizou uma inspeção detalhada em todos os equipamentos disponíveis.,O técnico realizou uma inspeção detalhada em todos os equipamentos disponíveis.,2.475,7,0.9125,ok,
fishspeech,original,v1,79,fishspeech/outputs_final_experiment/original/v1/079.wav,A fila estava enorme.,A fila estava enorme.,5.243,2,0.8838,ok,
fishspeech,original,v1,80,fishspeech/outputs_final_experiment/original/v1/080.wav,O visitante demonstrou bastante interesse pelas atividades desenvolvidas no laboratório.,O visitante demonstrou bastante interesse pelas atividades desenvolvidas no laboratório.,3.276,9,0.8988,ok,
fishspeech,original,v1,81,fishspeech/outputs_final_experiment/original/v1/081.wav,Hoje foi um dia tranquilo.,Hoje foi um dia tranquilo.,4.408,2,0.9324,ok,
fishspeech,original,v1,82,fishspeech/outputs_final_experiment/original/v1/082.wav,O casal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,O casal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,2.857,5,0.9325,ok,
fishspeech,original,v1,83,fishspeech/outputs_final_experiment/original/v1/083.wav,Você ouviu aquele barulho estranho?,Você ouviu aquele barulho estranho?,3.229,2,0.9525,ok,
fishspeech,original,v1,84,fishspeech/outputs_final_experiment/original/v1/084.wav,A recepcionista confirmou a reserva imediatamente após localizar os dados no sistema.,A recepcionista confirmou a reserva imediatamente após localizar os dados no sistema.,3.585,12,0.8593,ok,
fishspeech,original,v1,85,fishspeech/outputs_final_experiment/original/v1/085.wav,O trânsito melhorou bastante.,O trânsito melhorou bastante.,4.558,3,0.8998,ok,
fishspeech,original,v1,86,fishspeech/outputs_final_experiment/original/v1/086.wav,"Enquanto caminhava pela orla, observei crianças brincando e pessoas praticando esportes.","Enquanto caminhava pela orla, observei crianças brincando e pessoas praticando esportes.",5.686,11,0.8669,ok,
fishspeech,original,v1,87,fishspeech/outputs_final_experiment/original/v1/087.wav,O relógio marcou exatamente sete horas da manhã.,O relógio marcou exatamente sete horas da manhã.,4.728,6,0.8743,ok,
fishspeech,original,v1,88,fishspeech/outputs_final_experiment/original/v1/088.wav,O funcionário organizou os documentos para facilitar futuras consultas.,O funcionário organizou os documentos para facilitar futuras consultas.,3.299,2,0.9675,ok,
fishspeech,original,v1,89,fishspeech/outputs_final_experiment/original/v1/089.wav,O jantar estava ótimo.,O jantar estava ótimo.,4.995,1,0.9362,ok,
fishspeech,original,v1,90,fishspeech/outputs_final_experiment/original/v1/090.wav,Será que ainda há vagas disponíveis?,Será que ainda há vagas disponíveis?,3.096,0,0.9969,ok,
fishspeech,original,v1,91,fishspeech/outputs_final_experiment/original/v1/091.wav,A entrega foi realizada com sucesso.,A entrega foi realizada com sucesso.,3.131,4,0.8823,ok,
fishspeech,original,v1,92,fishspeech/outputs_final_experiment/original/v1/092.wav,"Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.","Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.",2.142,7,0.93,ok,
fishspeech,original,v1,93,fishspeech/outputs_final_experiment/original/v1/093.wav,O teatro estava cheio naquela noite.,O teatro estava cheio naquela noite.,4.618,2,0.9476,ok,
fishspeech,original,v1,94,fishspeech/outputs_final_experiment/original/v1/094.wav,Você costuma acordar cedo nos fins de semana?,Você costuma acordar cedo nos fins de semana?,5.383,6,0.8677,ok,
fishspeech,original,v1,95,fishspeech/outputs_final_experiment/original/v1/095.wav,O comerciante percebeu um aumento significativo no movimento durante o período de férias.,(ininteligível),5.692,68,0.2329,ok,
fishspeech,original,v1,96,fishspeech/outputs_final_experiment/original/v1/096.wav,O parque abriu normalmente.,O parque abriu normalmente.,3.458,2,0.9344,ok,
fishspeech,original,v1,97,fishspeech/outputs_final_experiment/original/v1/097.wav,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,4.139,7,0.9127,ok,
fishspeech,original,v1,98,fishspeech/outputs_final_experiment/original/v1/098.wav,O tempo mudou rapidamente.,O tempo mudou rapidamente.,4.253,1,0.9566,ok,
fishspeech,original,v1,99,fishspeech/outputs_final_experiment/original/v1/099.wav,Eu gostaria de confirmar o horário exato da próxima reunião.,Eu gostaria de confirmar o horário exato da próxima reunião.,3.16,0,0.9926,ok,
fishspeech,original,v1,100,fishspeech/outputs_final_experiment/original/v1/100.wav,"Após uma longa jornada de trabalho, todos comemoraram o encerramento bem-sucedido do projeto.",(ininteligível),4.089,83,0.0857,ok,
fishspeech,original,v2,1,fishspeech/outputs_final_experiment/original/v2/001.wav,Hoje o trânsito estava tranquilo.,Hoje o trânsito estava tranquilo.,4.577,2,0.9349,ok,
fishspeech,original,v2,2,fishspeech/outputs_final_experiment/original/v2/002.wav,Você conseguiu encontrar o endereço correto da reunião?,Você conseguiu encontrar o endereço correto da reunião?,1.879,1,0.9798,ok,
fishspeech,original,v2,3,fishspeech/outputs_final_experiment/original/v2/003.wav,"Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança.","Depois de muito procurar, finalmente encontrei as chaves que havia perdido durante a mudança.",5.374,7,0.9261,ok,
fishspeech,original,v2,4,fishspeech/outputs_final_experiment/original/v2/004.wav,O café estava tão quente que precisei esperar alguns minutos antes de beber.,O café estava tão quente que precisei esperar alguns minutos antes de beber.,5.031,3,0.9572,ok,
fishspeech,original,v2,5,fishspeech/outputs_final_experiment/original/v2/005.wav,Que surpresa agradável encontrar vocês por aqui!,Que surpresa agradável encontrar vocês por aqui!,4.582,2,0.9671,ok,
fishspeech,original,v2,6,fishspeech/outputs_final_experiment/original/v2/006.wav,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite.,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite.,2.732,2,0.9737,ok,
fishspeech,original,v2,7,fishspeech/outputs_final_experiment/original/v2/007.wav,Ontem eu passei rapidamente no mercado.,Ontem eu passei rapidamente no mercado.,2.43,4,0.9054,ok,
fishspeech,original,v2,8,fishspeech/outputs_final_experiment/original/v2/008.wav,Você lembra qual foi o horário combinado para o encontro de amanhã?,Você lembra qual foi o horário combinado para o encontro de amanhã?,2.365,6,0.9026,ok,
fishspeech,original,v2,9,fishspeech/outputs_final_experiment/original/v2/009.wav,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada.","Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada.",3.052,3,0.9675,ok,
fishspeech,original,v2,10,fishspeech/outputs_final_experiment/original/v2/010.wav,O computador reiniciou sozinho.,O computador reiniciou sozinho.,1.67,1,0.9673,ok,
fishspeech,original,v2,11,fishspeech/outputs_final_experiment/original/v2/011.wav,Ainda não recebi a confirmação da inscrição.,Ainda não recebi a confirmação da inscrição.,4.04,1,0.9673,ok,
fishspeech,original,v2,12,fishspeech/outputs_final_experiment/original/v2/012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.",1.712,0,1.0,ok,
fishspeech,original,v2,13,fishspeech/outputs_final_experiment/original/v2/013.wav,Será que o ônibus passa por esta rua?,Será que o ônibus passa por esta rua?,2.059,3,0.9127,ok,
fishspeech,original,v2,14,fishspeech/outputs_final_experiment/original/v2/014.wav,O técnico resolveu o problema em poucos minutos.,O técnico resolveu o problema em poucos minutos.,3.513,2,0.951,ok,
fishspeech,original,v2,15,fishspeech/outputs_final_experiment/original/v2/015.wav,"Depois que a energia voltou, todos retomaram suas atividades normalmente.","Depois que a energia voltou, todos retomaram suas atividades normalmente.",5.418,7,0.9036,ok,
fishspeech,original,v2,16,fishspeech/outputs_final_experiment/original/v2/016.wav,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão.,(ininteligível),2.45,57,0.3185,ok,
fishspeech,original,v2,17,fishspeech/outputs_final_experiment/original/v2/017.wav,Você pode repetir a última informação?,Você pode repetir a última informação?,1.572,4,0.8925,ok,
fishspeech,original,v2,18,fishspeech/outputs_final_experiment/original/v2/018.wav,A encomenda chegou exatamente no prazo informado pela transportadora.,A encomenda chegou exatamente no prazo informado pela transportadora.,2.385,4,0.9401,ok,
fishspeech,original,v2,19,fishspeech/outputs_final_experiment/original/v2/019.wav,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro.,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro.,1.749,10,0.863,ok,
fishspeech,original,v2,20,fishspeech/outputs_final_experiment/original/v2/020.wav,Faz bastante calor hoje.,Faz bastante calor hoje.,4.177,1,0.9549,ok,
fishspeech,original,v2,21,fishspeech/outputs_final_experiment/original/v2/021.wav,O professor pediu que os alunos entregassem os trabalhos até a próxima semana.,(ininteligível),3.727,53,0.3118,ok,
fishspeech,original,v2,22,fishspeech/outputs_final_experiment/original/v2/022.wav,Eu não esperava encontrar tanta gente naquele horário.,Eu não esperava encontrar tanta gente naquele horário.,4.197,4,0.9332,ok,
fishspeech,original,v2,23,fishspeech/outputs_final_experiment/original/v2/023.wav,Qual foi a primeira cidade que você visitou durante as férias?,Qual foi a primeira cidade que você visitou durante as férias?,5.375,2,0.9736,ok,
fishspeech,original,v2,24,fishspeech/outputs_final_experiment/original/v2/024.wav,"Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas.","Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas.",3.008,6,0.9104,ok,
fishspeech,original,v2,25,fishspeech/outputs_final_experiment/original/v2/025.wav,O cachorro correu até o portão assim que ouviu o carro se aproximando.,O cachorro correu até o portão assim que ouviu o carro se aproximando.,1.812,8,0.8895,ok,
fishspeech,original,v2,26,fishspeech/outputs_final_experiment/original/v2/026.wav,Você sabe onde fica a biblioteca central?,Você sabe onde fica a biblioteca central?,2.73,3,0.9225,ok,
fishspeech,original,v2,27,fishspeech/outputs_final_experiment/original/v2/027.wav,O relatório foi concluído.,O relatório foi concluído.,3.599,3,0.8906,ok,
fishspeech,original,v2,28,fishspeech/outputs_final_experiment/original/v2/028.wav,"Durante a madrugada, o vento ficou mais forte e algumas árvores balançavam constantemente.","Durante a madrugada, o vento ficou mais forte e algumas árvores balançavam constantemente.",4.697,8,0.9104,ok,
fishspeech,original,v2,29,fishspeech/outputs_final_experiment/original/v2/029.wav,Que horas são agora?,Que horas são agora?,3.711,1,0.9346,ok,
fishspeech,original,v2,30,fishspeech/outputs_final_experiment/original/v2/030.wav,A médica explicou com calma cada etapa do tratamento recomendado.,A médica explicou com calma cada etapa do tratamento recomendado.,4.824,3,0.9497,ok,
fishspeech,original,v2,31,fishspeech/outputs_final_experiment/original/v2/031.wav,O grupo decidiu antecipar a saída.,O grupo decidiu antecipar a saída.,2.073,3,0.9014,ok,
fishspeech,original,v2,32,fishspeech/outputs_final_experiment/original/v2/032.wav,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.","Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.",2.818,15,0.8527,ok,
fishspeech,original,v2,33,fishspeech/outputs_final_experiment/original/v2/033.wav,O restaurante estava lotado.,O restaurante estava lotado.,2.957,0,1.0,ok,
fishspeech,original,v2,34,fishspeech/outputs_final_experiment/original/v2/034.wav,Você já assistiu ao filme que foi lançado na semana passada?,Você já assistiu ao filme que foi lançado na semana passada?,3.828,1,0.9904,ok,
fishspeech,original,v2,35,fishspeech/outputs_final_experiment/original/v2/035.wav,"Depois de vários testes, conseguimos identificar a origem do problema.","Depois de vários testes, conseguimos identificar a origem do problema.",3.69,0,1.0,ok,
fishspeech,original,v2,36,fishspeech/outputs_final_experiment/original/v2/036.wav,A praia estava praticamente vazia naquela manhã de terça-feira.,A praia estava praticamente vazia naquela manhã de terça-feira.,5.956,6,0.8958,ok,
fishspeech,original,v2,37,fishspeech/outputs_final_experiment/original/v2/037.wav,O resultado saiu mais cedo do que imaginávamos.,O resultado saiu mais cedo do que imaginávamos.,5.044,1,0.9797,ok,
fishspeech,original,v2,38,fishspeech/outputs_final_experiment/original/v2/038.wav,Eu precisava apenas de alguns minutos para terminar aquela tarefa.,Eu precisava apenas de alguns minutos para terminar aquela tarefa.,3.35,0,0.9954,ok,
fishspeech,original,v2,39,fishspeech/outputs_final_experiment/original/v2/039.wav,A apresentação terminou com aplausos.,A apresentação terminou com aplausos.,3.092,4,0.895,ok,
