modelo,condicao,variacao,indice,arquivo,texto_original,texto_transcrito,duracao_s,lev_dist,lev_sim,mosanet_mos,nisqa_overall,nisqa_noisiness,nisqa_discontinuity,nisqa_coloration,nisqa_loudness,dns_sig,dns_bak,dns_ovrl,mos_principal,mos_principal_fonte,status,erro
fishspeech,original,v1,52,fishspeech\outputs_final_experiment\original\v1\052.wav,"Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.","depois de meses de planejamento e preparação, a equipe finalmente inicia a execução do projeto.",5.759,2,0.9787,,3.9229,3.3796,4.5648,4.1004,4.3721,3.6984,3.6351,4.0272,3.9229,nisqa_overall,ok,
fishspeech,original,v1,57,fishspeech\outputs_final_experiment\original\v1\057.wav,Ainda falta muito?,"É talentar no Anilinho, é sério.",1.904,22,0.2667,,4.0703,3.7022,4.5675,3.8228,4.3324,3.6378,3.434,4.0274,4.0703,nisqa_overall,ok,
fishspeech,original,v1,62,fishspeech\outputs_final_experiment\original\v1\062.wav,"Quando a chuva diminuiu, as pessoas voltaram gradualmente para as áreas externas do parque.","Quando chuva diminuiu, as fôrteas voltaram gradualmente para as áreas externas.",9.381,17,0.809,,2.4498,1.8831,4.141,3.2976,3.1859,2.7051,3.2608,2.4904,2.4498,nisqa_overall,ok,
fishspeech,original,v1,67,fishspeech\outputs_final_experiment\original\v1\067.wav,A banda ensaiou durante toda a tarde para a apresentação marcada para o fim de semana.,"E no iPhone, a venência é eu durante toda a tarde com a apresentação marcada para o fim de semana.",6.873,23,0.7604,,1.9971,1.808,4.1488,3.0072,2.5168,2.9252,3.4579,3.0378,1.9971,nisqa_overall,ok,
fishspeech,original,v1,72,fishspeech\outputs_final_experiment\original\v1\072.wav,Você sabe qual é o número da sala onde acontecerá a entrevista?,Você sabe qual é o número da sala onde acontecerá a entrevista?,3.947,0,1.0,,4.2497,4.1675,4.5217,4.0014,4.4595,3.8746,3.4615,3.7755,4.2497,nisqa_overall,ok,
fishspeech,original,v1,77,fishspeech\outputs_final_experiment\original\v1\077.wav,Já está tudo pronto?,"Per depictsua<|pt|> Enfinû plug Moyen, de",6.223,28,0.2432,,3.9563,4.0857,4.5014,3.847,3.9374,3.6311,3.5904,4.029,3.9563,nisqa_overall,ok,
fishspeech,original,v1,82,fishspeech\outputs_final_experiment\original\v1\082.wav,O casal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,fiscal stories de os compressos do Turf实a o banho coordemAr Airport,6.223,55,0.3125,,4.0317,3.7219,4.4029,3.9344,4.2591,3.4371,3.5728,3.6859,4.0317,nisqa_overall,ok,
fishspeech,original,v1,87,fishspeech\outputs_final_experiment\original\v1\087.wav,O relógio marcou exatamente sete horas da manhã.,"Olha, eu não se marco exatamente sete horas da manhã.",3.158,12,0.7647,,3.3033,3.5515,3.3409,3.3519,3.2443,3.1792,3.3434,3.9819,3.3033,nisqa_overall,ok,
fishspeech,original,v1,92,fishspeech\outputs_final_experiment\original\v1\092.wav,"Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.","Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.",8.731,0,1.0,,3.1301,2.3447,4.0008,3.5124,3.4036,2.9937,3.6944,3.7365,3.1301,nisqa_overall,ok,
fishspeech,original,v1,97,fishspeech\outputs_final_experiment\original\v1\097.wav,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,A pesquisador... É Vizouv... Foiu...,6.223,63,0.2588,,2.999,2.7907,3.9605,3.7239,3.6247,2.992,3.5615,3.4826,2.999,nisqa_overall,ok,
fishspeech,original,v2,2,fishspeech\outputs_final_experiment\original\v2\002.wav,Você conseguiu encontrar o endereço correto da reunião?,Onde chilling sou Content?,2.74,42,0.2222,,4.1509,2.8909,4.4093,4.1429,4.3761,3.4508,3.7404,4.1952,4.1509,nisqa_overall,ok,
fishspeech,original,v2,7,fishspeech\outputs_final_experiment\original\v2\007.wav,Ontem eu passei rapidamente no mercado.,ontem eu passei rapidamente no mercado.,2.926,0,1.0,,3.7374,2.9409,4.1715,3.5388,4.1777,3.4834,3.5572,3.0911,3.7374,nisqa_overall,ok,
fishspeech,original,v2,12,fishspeech\outputs_final_experiment\original\v2\012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.",9.567,0,1.0,,3.5577,3.2796,4.1669,3.389,4.0049,3.8171,3.5628,4.1476,3.5577,nisqa_overall,ok,
fishspeech,original,v2,17,fishspeech\outputs_final_experiment\original\v2\017.wav,Você pode repetir a última informação?,Você pode repetir a última informação?,1.811,0,1.0,,2.8199,3.4359,2.855,2.9153,3.5578,3.4363,3.665,3.0559,2.8199,nisqa_overall,ok,
fishspeech,original,v2,22,fishspeech\outputs_final_experiment\original\v2\022.wav,Eu não esperava encontrar tanta gente naquele horário.,Eu não esperava encontrar tanta gente naquele horário.,8.499,0,1.0,,3.6751,4.0072,4.0327,2.9958,3.6397,4.1274,3.4578,4.0223,3.6751,nisqa_overall,ok,
fishspeech,original,v2,27,fishspeech\outputs_final_experiment\original\v2\027.wav,O relatório foi concluído.,conventions de as matérias emendas a fazer.,4.365,34,0.1905,,4.4568,4.3187,4.4948,3.9424,4.3253,3.8413,3.4731,4.0365,4.4568,nisqa_overall,ok,
fishspeech,original,v2,32,fishspeech\outputs_final_experiment\original\v2\032.wav,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.","Em conta, guardávamos o início da palestra, conversámos sobre projetos futuros e oportunidades de pesquisa.",9.938,7,0.9333,,3.9548,3.4839,4.2875,3.9245,3.3219,3.6285,3.5849,4.105,3.9548,nisqa_overall,ok,
fishspeech,original,v2,37,fishspeech\outputs_final_experiment\original\v2\037.wav,O resultado saiu mais cedo do que imaginávamos.,"No amoecete, um mais cedo do que imaginávamos.",9.474,14,0.6957,,3.9714,3.9062,4.2868,4.0494,3.024,3.956,3.2886,3.9444,3.9714,nisqa_overall,ok,
fishspeech,original,v2,42,fishspeech\outputs_final_experiment\original\v2\042.wav,"Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.",E dele chegar à museu é aprendermos de ver os fatos curiosos sobre a história da região.,7.245,22,0.7471,,2.7194,2.3852,4.0504,2.9625,3.1384,3.0387,2.1686,1.8079,2.7194,nisqa_overall,ok,
fishspeech,original,v2,47,fishspeech\outputs_final_experiment\original\v2\047.wav,Hoje acordei mais cedo.,hoje vai poder mais cedo.,1.44,6,0.75,,2.6158,2.4426,4.1048,3.3482,3.1055,2.7943,2.2126,1.5394,2.6158,nisqa_overall,ok,
fishspeech,original,v2,52,fishspeech\outputs_final_experiment\original\v2\052.wav,"Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.","Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.",5.759,0,1.0,,3.9493,3.3325,4.303,3.8321,4.215,3.8645,3.5897,3.7096,3.9493,nisqa_overall,ok,
fishspeech,original,v2,57,fishspeech\outputs_final_experiment\original\v2\057.wav,Ainda falta muito?,em default muito,1.347,7,0.5882,,2.6184,2.6779,2.4385,2.7048,3.4243,3.2433,3.5186,3.9474,2.6184,nisqa_overall,ok,
fishspeech,original,v2,62,fishspeech\outputs_final_experiment\original\v2\062.wav,"Quando a chuva diminuiu, as pessoas voltaram gradualmente para as áreas externas do parque.",o poder que o cláusia estájis… inch simplemente tem que ter comp trout ně mia pem Uber é um 是充是錄 Apostol,9.149,82,0.2039,,2.1868,1.9225,4.1491,2.6991,2.9088,2.8088,3.3672,2.8764,2.1868,nisqa_overall,ok,
fishspeech,original,v2,67,fishspeech\outputs_final_experiment\original\v2\067.wav,A banda ensaiou durante toda a tarde para a apresentação marcada para o fim de semana.,"Além disso ummam jantar этотaux e era do tempo, não era tempo e numim, Spec scenario já bugün was sendo justamente assim. Esta teve uma ordem da separação em eh esto. Nesseando do país, se sociais se едzem inte погando, por issomalas e dois kedos.",17.136,184,0.2333,,2.4705,1.8807,4.3849,3.4082,3.2823,2.965,3.2974,2.9237,2.4705,nisqa_overall,ok,
fishspeech,original,v2,72,fishspeech\outputs_final_experiment\original\v2\072.wav,Você sabe qual é o número da sala onde acontecerá a entrevista?,Você sabe qual é o número da sala onde a conselha é entrevista.,7.198,7,0.8871,,4.1051,4.115,4.4999,4.0639,4.2694,3.9651,3.5912,4.0124,4.1051,nisqa_overall,ok,
fishspeech,original,v2,77,fishspeech\outputs_final_experiment\original\v2\077.wav,Já está tudo pronto?,7 horas puxadas.,1.347,17,0.1053,,3.9061,3.9688,4.483,4.0415,4.023,3.5992,3.3281,3.709,3.9061,nisqa_overall,ok,
fishspeech,original,v2,82,fishspeech\outputs_final_experiment\original\v2\082.wav,O casal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,Passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,6.641,8,0.9,,3.7296,3.4181,4.3494,4.0336,3.7633,3.4167,3.5184,3.9999,3.7296,nisqa_overall,ok,
fishspeech,original,v2,87,fishspeech\outputs_final_experiment\original\v2\087.wav,O relógio marcou exatamente sete horas da manhã.,"Acabou o rolo, acabou a patoaxi, marcou exatamente sete horas da manhã.",12.678,25,0.6324,,4.0549,3.713,4.4064,4.2453,4.1683,3.7874,3.6136,4.0622,4.0549,nisqa_overall,ok,
fishspeech,original,v2,92,fishspeech\outputs_final_experiment\original\v2\092.wav,"Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.","Então, depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.",11.424,6,0.9459,,3.3492,2.2948,4.1752,3.7298,3.973,2.8827,3.5946,3.7311,3.3492,nisqa_overall,ok,
fishspeech,original,v2,97,fishspeech\outputs_final_experiment\original\v2\097.wav,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,было descritado o Neri Foul eminya... os dados diversos vezes...,7.802,61,0.2824,,3.1899,2.6618,3.95,3.529,3.4125,2.8032,3.4929,3.6989,3.1899,nisqa_overall,ok,
fishspeech,original,v3,2,fishspeech\outputs_final_experiment\original\v3\002.wav,Você conseguiu encontrar o endereço correto da reunião?,verschiedene. Mute...,4.969,44,0.1852,,3.9213,3.5181,4.3623,3.925,4.2864,3.372,3.4301,3.6315,3.9213,nisqa_overall,ok,
fishspeech,original,v3,7,fishspeech\outputs_final_experiment\original\v3\007.wav,Ontem eu passei rapidamente no mercado.,Ontem eu passei eletricamente no mercado,5.062,6,0.85,,3.0124,2.6227,4.2811,3.7636,3.9398,3.3629,3.6528,3.5224,3.0124,nisqa_overall,ok,
fishspeech,original,v3,12,fishspeech\outputs_final_experiment\original\v3\012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao local do evento, a apresentação já havia começado e quase me encontramos lugares disponíveis.",8.173,3,0.973,,3.9458,3.5801,4.1463,3.7654,4.1568,4.0734,3.6763,4.1588,3.9458,nisqa_overall,ok,
fishspeech,original,v3,17,fishspeech\outputs_final_experiment\original\v3\017.wav,Você pode repetir a última informação?,Você pode repetir a última informação?,1.904,0,1.0,,4.2019,3.6834,4.5292,4.0271,4.4024,3.6293,3.4242,3.8045,4.2019,nisqa_overall,ok,
fishspeech,original,v3,22,fishspeech\outputs_final_experiment\original\v3\022.wav,Eu não esperava encontrar tanta gente naquele horário.,"Mas enfim, ounuzGG pressionaram Preciso de Out pócupeARK",5.016,46,0.1636,,3.4648,3.942,4.356,2.8819,3.3727,3.7388,3.3033,3.7405,3.4648,nisqa_overall,ok,
fishspeech,original,v3,27,fishspeech\outputs_final_experiment\original\v3\027.wav,O relatório foi concluído.,Mas já ...,2.833,23,0.08,,4.4353,3.9413,4.6064,4.1967,4.4587,3.6639,3.3956,2.9568,4.4353,nisqa_overall,ok,
fishspeech,original,v3,32,fishspeech\outputs_final_experiment\original\v3\032.wav,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.","Enquanto aguardávamos o início da palestra, conversávamos sobre projetos, futuros e oportunidades de pesquisa.",11.796,2,0.9813,,3.8971,2.9634,4.4078,3.9391,3.6968,3.949,3.5085,4.0564,3.8971,nisqa_overall,ok,
fishspeech,original,v3,37,fishspeech\outputs_final_experiment\original\v3\037.wav,O resultado saiu mais cedo do que imaginávamos.,O resultado saiu mais cedo do que imaginávamos.,5.341,0,1.0,,4.2114,3.3202,4.4209,4.1374,3.4141,3.2162,3.5015,3.9798,4.2114,nisqa_overall,ok,
fishspeech,original,v3,42,fishspeech\outputs_final_experiment\original\v3\042.wav,"Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.",Hoje visitam o museu a aprender diversos fatos curiosos sobre a história da região.,5.48,15,0.8276,,2.3299,2.2964,3.9304,2.5172,2.8795,3.2023,3.5755,3.4389,2.3299,nisqa_overall,ok,
fishspeech,original,v3,47,fishspeech\outputs_final_experiment\original\v3\047.wav,Hoje acordei mais cedo.,だけ você sabe tudo.,1.486,15,0.3182,,2.412,2.349,4.0612,2.3868,2.6401,2.754,3.0757,2.6318,2.412,nisqa_overall,ok,
fishspeech,original,v3,52,fishspeech\outputs_final_experiment\original\v3\052.wav,"Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.","Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.",5.341,0,1.0,,4.1687,3.7417,4.4222,4.0071,4.2684,3.5832,3.5601,3.8869,4.1687,nisqa_overall,ok,
fishspeech,original,v3,57,fishspeech\outputs_final_experiment\original\v3\057.wav,Ainda falta muito?,"Resina, falta muito!",1.533,4,0.7778,,2.7034,2.4493,2.8318,2.8229,3.5803,3.5337,3.3988,3.4581,2.7034,nisqa_overall,ok,
fishspeech,original,v3,62,fishspeech\outputs_final_experiment\original\v3\062.wav,"Quando a chuva diminuiu, as pessoas voltaram gradualmente para as áreas externas do parque.",O que se ouva diminuiu? As pessoas voltaram gradualmente para as áreas externas do parque.,11.471,10,0.8876,,2.643,2.2714,4.0478,3.28,3.476,3.3607,3.4908,3.2943,2.643,nisqa_overall,ok,
fishspeech,original,v3,67,fishspeech\outputs_final_experiment\original\v3\067.wav,A banda ensaiou durante toda a tarde para a apresentação marcada para o fim de semana.,Vem! Vem! Vem! Vem! Vem! Vem! Vem!,31.533,71,0.1647,,1.7587,1.7423,4.0345,3.5756,2.7809,2.3072,1.6583,1.983,1.7587,nisqa_overall,ok,
fishspeech,original,v3,72,fishspeech\outputs_final_experiment\original\v3\072.wav,Você sabe qual é o número da sala onde acontecerá a entrevista?,Ou se sabe qual é o número da sala onde acontecerá a entrevista.,5.851,5,0.9206,,3.7378,4.0501,4.2675,3.7345,3.8473,4.1258,3.5592,3.9963,3.7378,nisqa_overall,ok,
fishspeech,original,v3,77,fishspeech\outputs_final_experiment\original\v3\077.wav,Já está tudo pronto?,Cá tá tudo pronto.,1.254,3,0.8421,,3.2128,3.8498,4.2622,2.5098,3.2057,2.8936,3.3724,3.7066,3.2128,nisqa_overall,ok,
fishspeech,original,v3,82,fishspeech\outputs_final_experiment\original\v3\082.wav,O casal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,O quezal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,6.455,4,0.9506,,3.864,3.8155,4.4011,3.8439,4.1066,3.5342,3.5594,4.0396,3.864,nisqa_overall,ok,
fishspeech,original,v3,87,fishspeech\outputs_final_experiment\original\v3\087.wav,O relógio marcou exatamente sete horas da manhã.,O relógio marcou exatamente sete horas da manhã.,5.062,0,1.0,,4.1213,3.5461,4.4399,4.2391,4.1016,3.5675,3.6665,4.1319,4.1213,nisqa_overall,ok,
fishspeech,original,v3,92,fishspeech\outputs_final_experiment\original\v3\092.wav,"Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.","Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.",6.966,0,1.0,,3.203,2.3572,4.0922,3.4841,3.6147,3.1337,3.6979,3.5153,3.203,nisqa_overall,ok,
fishspeech,original,v3,97,fishspeech\outputs_final_experiment\original\v3\097.wav,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,7.059,0,1.0,,3.1886,2.7408,4.0649,3.4955,3.5135,3.1521,3.6814,3.7418,3.1886,nisqa_overall,ok,
fishspeech,ajustado,v1,2,fishspeech\outputs_final_experiment\ajustado\v1\002.wav,Você conseguiu encontrar o endereço correto da reunião?,Você conseguiu encontrar um endereço correto da reunião?,8.591,2,0.9636,,3.6509,2.7985,3.6793,3.4553,4.1591,3.2228,3.6508,4.0757,3.6509,nisqa_overall,ok,
fishspeech,ajustado,v1,7,fishspeech\outputs_final_experiment\ajustado\v1\007.wav,Ontem eu passei rapidamente no mercado.,Ontem eu passei rapidamente no mercado.,4.272,0,1.0,,3.517,2.9866,3.6831,3.3238,3.997,3.6047,3.5587,3.8477,3.517,nisqa_overall,ok,
fishspeech,ajustado,v1,12,fishspeech\outputs_final_experiment\ajustado\v1\012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.",13.978,0,1.0,,3.4702,3.0755,3.9471,3.2082,3.7404,3.8904,3.6745,3.6566,3.4702,nisqa_overall,ok,
fishspeech,ajustado,v1,17,fishspeech\outputs_final_experiment\ajustado\v1\017.wav,Você pode repetir a última informação?,se pode repetir a última informação.,2.972,4,0.8919,,2.7877,3.2059,2.5708,2.7015,3.4971,3.809,3.5975,3.9991,2.7877,nisqa_overall,ok,
fishspeech,ajustado,v1,22,fishspeech\outputs_final_experiment\ajustado\v1\022.wav,Eu não esperava encontrar tanta gente naquele horário.,,3.855,53,0.0,,0.8769,2.9213,3.5578,2.0144,1.023,2.5513,2.1988,3.3724,0.8769,nisqa_overall,ok,
fishspeech,ajustado,v1,27,fishspeech\outputs_final_experiment\ajustado\v1\027.wav,O relatório foi concluído.,O relatar foi concluído...,3.808,3,0.88,,3.417,3.7871,4.2683,3.0674,3.5335,3.7267,3.5143,4.0372,3.417,nisqa_overall,ok,
fishspeech,ajustado,v1,32,fishspeech\outputs_final_experiment\ajustado\v1\032.wav,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa.","Enquanto aguardavam o início da palestra, conversamos sobre projetos futuros e oportunidade de pesquisa.",15.0,4,0.9619,,3.9133,2.8644,4.3244,4.023,3.9232,3.4724,3.6745,4.0373,3.9133,nisqa_overall,ok,
fishspeech,ajustado,v1,37,fishspeech\outputs_final_experiment\ajustado\v1\037.wav,O resultado saiu mais cedo do que imaginávamos.,O resultado saiu mais cedo que imaginávamos.,3.344,3,0.9348,,3.6943,3.1304,4.346,3.8218,3.0581,3.3881,3.4075,3.8608,3.6943,nisqa_overall,ok,
fishspeech,ajustado,v1,42,fishspeech\outputs_final_experiment\ajustado\v1\042.wav,"Durante a visita ao museu, aprendemos diversos fatos curiosos sobre a história da região.","durante a visitar o museu, para aprendermos diversos fatos curiosos sobre a história da região.",8.777,8,0.914,,2.5006,2.0384,4.0379,2.8869,3.2332,2.9778,3.4433,2.9,2.5006,nisqa_overall,ok,
fishspeech,ajustado,v1,47,fishspeech\outputs_final_experiment\ajustado\v1\047.wav,Hoje acordei mais cedo.,"Hoje, acordei mais cedo.",4.458,0,1.0,,2.6786,2.3254,4.1008,2.9914,2.961,2.7257,3.3783,3.1053,2.6786,nisqa_overall,ok,
fishspeech,ajustado,v1,52,fishspeech\outputs_final_experiment\ajustado\v1\052.wav,"Depois de meses de planejamento e preparação, a equipe finalmente iniciou a execução do projeto.",तप जिball ...,35.248,90,0.0426,,1.1836,1.6121,2.3824,1.8938,1.8828,2.3632,2.4044,2.8391,1.1836,nisqa_overall,ok,
fishspeech,ajustado,v1,57,fishspeech\outputs_final_experiment\ajustado\v1\057.wav,Ainda falta muito?,rait,3.947,14,0.1765,,3.2286,2.3034,3.5713,3.0906,3.3322,3.1695,3.187,3.9417,3.2286,nisqa_overall,ok,
fishspeech,ajustado,v1,62,fishspeech\outputs_final_experiment\ajustado\v1\062.wav,"Quando a chuva diminuiu, as pessoas voltaram gradualmente para as áreas externas do parque.","Quando a chuva diminuiu, as pessoas voltaram gradualmente para as áreas.",33.39,19,0.7865,,0.8605,1.7635,3.5849,2.1264,2.3527,2.7712,3.4813,2.8489,0.8605,nisqa_overall,ok,
fishspeech,ajustado,v1,67,fishspeech\outputs_final_experiment\ajustado\v1\067.wav,A banda ensaiou durante toda a tarde para a apresentação marcada para o fim de semana.,O Barbando ensaiou durante toda a tarde para a apresentação marcado para o fim de serem um.,14.861,11,0.8778,,1.9705,1.5794,4.0756,3.1428,3.005,2.7735,3.4359,2.568,1.9705,nisqa_overall,ok,
fishspeech,ajustado,v1,72,fishspeech\outputs_final_experiment\ajustado\v1\072.wav,Você sabe qual é o número da sala onde acontecerá a entrevista?,,6.13,62,0.0,,1.2414,2.5184,3.5695,1.1371,1.6528,2.1918,1.4487,1.2755,1.2414,nisqa_overall,ok,
fishspeech,ajustado,v1,77,fishspeech\outputs_final_experiment\ajustado\v1\077.wav,Já está tudo pronto?,Lele deasst,3.947,15,0.2105,,1.8553,2.8479,3.9578,1.6468,2.0369,3.3102,3.2299,3.4806,1.8553,nisqa_overall,ok,
fishspeech,ajustado,v1,82,fishspeech\outputs_final_experiment\ajustado\v1\082.wav,O casal passou vários meses organizando cuidadosamente cada detalhe da cerimônia.,"O casal passou vários meses organizando, cuidadosamente cada detalhe da cerimônia.",5.991,0,1.0,,3.7742,3.0291,4.3384,4.043,4.0576,3.6044,3.4404,3.5599,3.7742,nisqa_overall,ok,
fishspeech,ajustado,v1,87,fishspeech\outputs_final_experiment\ajustado\v1\087.wav,O relógio marcou exatamente sete horas da manhã.,O relógio vacou exatamente 7 horas da manhã.,5.201,6,0.8723,,3.1506,2.5104,4.3347,3.8801,3.2846,3.5727,3.3738,3.8265,3.1506,nisqa_overall,ok,
fishspeech,ajustado,v1,92,fishspeech\outputs_final_experiment\ajustado\v1\092.wav,"Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.","Depois de comparar diferentes alternativas, escolhemos a solução que parecia mais adequada para o problema.",10.449,0,1.0,,2.7937,2.3336,3.8095,2.854,3.1693,3.0489,3.7094,3.6644,2.7937,nisqa_overall,ok,
fishspeech,ajustado,v1,97,fishspeech\outputs_final_experiment\ajustado\v1\097.wav,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,A pesquisadora revisou os dados diversas vezes antes de publicar os resultados finais.,9.009,0,1.0,,3.6997,2.7551,4.3298,3.923,4.1879,2.9735,3.717,4.1153,3.6997,nisqa_overall,ok,
fishspeech,ajustado,v2,2,fishspeech\outputs_final_experiment\ajustado\v2\002.wav,Você conseguiu encontrar o endereço correto da reunião?,você conseguiu encontrar o endereço correto da reunião.,5.155,0,1.0,,3.3496,2.1436,3.782,3.0374,3.989,3.6579,3.779,3.812,3.3496,nisqa_overall,ok,
fishspeech,ajustado,v2,7,fishspeech\outputs_final_experiment\ajustado\v2\007.wav,Ontem eu passei rapidamente no mercado.,com ontem eu passei rapidamente no mercado.,3.901,4,0.9048,,3.2382,2.1053,4.0049,3.01,3.9672,3.4579,3.6994,3.2832,3.2382,nisqa_overall,ok,
fishspeech,ajustado,v2,12,fishspeech\outputs_final_experiment\ajustado\v2\012.wav,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.","Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis.",8.406,0,1.0,,3.4273,2.7176,4.0277,3.0971,3.8496,3.9609,3.6909,3.7379,3.4273,nisqa_overall,ok,
fishspeech,ajustado,v2,17,fishspeech\outputs_final_experiment\ajustado\v2\017.wav,Você pode repetir a última informação?,"Então, se puderem ver a última...",2.74,24,0.3514,,3.0893,3.2386,3.3719,2.9657,3.8776,3.6369,3.7316,3.8597,3.0893,nisqa_overall,ok,
