indice,variacao,seed,texto,modelo,experimento,checkpoint,criterio_selecao,referencia,arquivo_gerado,status,tempo_s,erro
4,2,123,O café estava tão quente que precisei esperar alguns minutos antes de beber,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\004.wav,skipped,0.0,
4,3,456,O café estava tão quente que precisei esperar alguns minutos antes de beber,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\004.wav,skipped,0.0,
5,1,42,Que surpresa agradável encontrar vocês por aqui!,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\005.wav,skipped,0.0,
5,2,123,Que surpresa agradável encontrar vocês por aqui!,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\005.wav,skipped,0.0,
5,3,456,Que surpresa agradável encontrar vocês por aqui!,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\005.wav,skipped,0.0,
6,1,42,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\006.wav,skipped,0.0,
6,2,123,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\006.wav,skipped,0.0,
6,3,456,A previsão indica possibilidade de chuva forte entre o final da tarde e o início da noite,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\006.wav,skipped,0.0,
7,1,42,Ontem eu passei rapidamente no mercado,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\007.wav,skipped,0.0,
7,2,123,Ontem eu passei rapidamente no mercado,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\007.wav,skipped,0.0,
7,3,456,Ontem eu passei rapidamente no mercado,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\007.wav,skipped,0.0,
8,1,42,Você lembra qual foi o horário combinado para o encontro de amanhã?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\008.wav,skipped,0.0,
8,2,123,Você lembra qual foi o horário combinado para o encontro de amanhã?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\008.wav,skipped,0.0,
8,3,456,Você lembra qual foi o horário combinado para o encontro de amanhã?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\008.wav,ok,31.66,
9,1,42,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\009.wav,ok,34.51,
9,2,123,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\009.wav,ok,34.95,
9,3,456,"Durante a viagem ao interior, observamos várias paisagens diferentes ao longo da estrada",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\009.wav,ok,34.64,
10,1,42,O computador reiniciou sozinho,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v1\010.wav,ok,16.61,
10,2,123,O computador reiniciou sozinho,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v2\010.wav,ok,15.84,
10,3,456,O computador reiniciou sozinho,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\1.wav,outputs_final_experiment\original\v3\010.wav,ok,15.73,
11,1,42,Ainda não recebi a confirmação da inscrição,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\011.wav,ok,22.45,
11,2,123,Ainda não recebi a confirmação da inscrição,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\011.wav,ok,22.25,
11,3,456,Ainda não recebi a confirmação da inscrição,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\011.wav,ok,21.95,
12,1,42,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\012.wav,ok,42.84,
12,2,123,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\012.wav,ok,42.94,
12,3,456,"Quando chegamos ao local do evento, a apresentação já havia começado e quase não encontramos lugares disponíveis",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\012.wav,ok,42.27,
13,1,42,Será que o ônibus passa por esta rua?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\013.wav,ok,17.97,
13,2,123,Será que o ônibus passa por esta rua?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\013.wav,ok,20.95,
13,3,456,Será que o ônibus passa por esta rua?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\013.wav,ok,20.28,
14,1,42,O técnico resolveu o problema em poucos minutos,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\014.wav,ok,24.69,
14,2,123,O técnico resolveu o problema em poucos minutos,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\014.wav,ok,24.12,
14,3,456,O técnico resolveu o problema em poucos minutos,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\014.wav,ok,24.16,
15,1,42,"Depois que a energia voltou, todos retomaram suas atividades normalmente",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\015.wav,ok,28.92,
15,2,123,"Depois que a energia voltou, todos retomaram suas atividades normalmente",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\015.wav,ok,28.27,
15,3,456,"Depois que a energia voltou, todos retomaram suas atividades normalmente",original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\015.wav,ok,28.58,
16,1,42,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\016.wav,ok,36.73,
16,2,123,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\016.wav,ok,36.91,
16,3,456,Meu avô sempre contava histórias interessantes sobre a época em que morava no sertão,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\016.wav,ok,37.24,
17,1,42,Você pode repetir a última informação?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\017.wav,ok,20.09,
17,2,123,Você pode repetir a última informação?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\017.wav,ok,20.17,
17,3,456,Você pode repetir a última informação?,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\017.wav,ok,20.31,
18,1,42,A encomenda chegou exatamente no prazo informado pela transportadora,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\018.wav,ok,26.52,
18,2,123,A encomenda chegou exatamente no prazo informado pela transportadora,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\018.wav,ok,26.34,
18,3,456,A encomenda chegou exatamente no prazo informado pela transportadora,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\018.wav,ok,26.59,
19,1,42,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\019.wav,ok,30.88,
19,2,123,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\019.wav,ok,30.77,
19,3,456,No próximo sábado haverá uma caminhada organizada pelos moradores do bairro,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\019.wav,ok,30.31,
20,1,42,Faz bastante calor hoje,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v1\020.wav,ok,13.98,
20,2,123,Faz bastante calor hoje,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v2\020.wav,ok,12.41,
20,3,456,Faz bastante calor hoje,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\2.wav,outputs_final_experiment\original\v3\020.wav,ok,14.92,
21,1,42,O professor pediu que os alunos entregassem os trabalhos até a próxima semana,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\3.wav,outputs_final_experiment\original\v1\021.wav,ok,34.59,
21,2,123,O professor pediu que os alunos entregassem os trabalhos até a próxima semana,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\3.wav,outputs_final_experiment\original\v2\021.wav,ok,33.28,
21,3,456,O professor pediu que os alunos entregassem os trabalhos até a próxima semana,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\3.wav,outputs_final_experiment\original\v3\021.wav,ok,34.8,
22,1,42,Eu não esperava encontrar tanta gente naquele horário,original,baseline_ptbr,ArtooDtoo/Orpheus_PTBR_FT_Unsloth_Chk-1800,Adapter PT-BR publico (HF) usado como ponto de partida antes do fine-tune regional paraibano; referenciado em comparacao_audios.csv como hf_ArtooDtoo e em setup_and_run_finetune_artoodtoo.bat como ADAPTER_REPO base.,refs\3.wav,outputs_final_experiment\original\v1\022.wav,ok,23.73,
