indice,variacao,seed,texto,modelo,experimento,checkpoint,criterio_selecao,referencia,arquivo_gerado,status,tempo_s,erro
23,2,123,Qual foi a primeira cidade que você visitou durante as férias?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/023.wav,ok,23.39,
23,3,456,Qual foi a primeira cidade que você visitou durante as férias?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/023.wav,ok,19.78,
24,1,42,"Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/024.wav,ok,44.02,
24,2,123,"Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/024.wav,ok,29.54,
24,3,456,"Apesar da chuva intensa, a cerimônia aconteceu sem grandes problemas",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/024.wav,ok,27.56,
25,1,42,O cachorro correu até o portão assim que ouviu o carro se aproximando,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/025.wav,ok,28.51,
25,2,123,O cachorro correu até o portão assim que ouviu o carro se aproximando,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/025.wav,ok,17.61,
25,3,456,O cachorro correu até o portão assim que ouviu o carro se aproximando,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/025.wav,ok,20.51,
26,1,42,Você sabe onde fica a biblioteca central?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/026.wav,ok,12.16,
26,2,123,Você sabe onde fica a biblioteca central?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/026.wav,ok,18.22,
26,3,456,Você sabe onde fica a biblioteca central?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/026.wav,ok,15.48,
27,1,42,O relatório foi concluído,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/027.wav,ok,18.53,
27,2,123,O relatório foi concluído,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/027.wav,ok,21.26,
27,3,456,O relatório foi concluído,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/027.wav,ok,13.74,
28,1,42,"Durante a madrugada, o vento ficou mais forte e algumas árvores balançavam constantemente",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/028.wav,ok,26.95,
28,2,123,"Durante a madrugada, o vento ficou mais forte e algumas árvores balançavam constantemente",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/028.wav,ok,18.33,
28,3,456,"Durante a madrugada, o vento ficou mais forte e algumas árvores balançavam constantemente",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/028.wav,ok,22.11,
29,1,42,Que horas são agora?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/029.wav,ok,7.6,
29,2,123,Que horas são agora?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/029.wav,ok,8.34,
29,3,456,Que horas são agora?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/029.wav,ok,4.74,
30,1,42,A médica explicou com calma cada etapa do tratamento recomendado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v1/030.wav,ok,19.1,
30,2,123,A médica explicou com calma cada etapa do tratamento recomendado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v2/030.wav,ok,14.86,
30,3,456,A médica explicou com calma cada etapa do tratamento recomendado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/3.wav,original/v3/030.wav,ok,39.78,
31,1,42,O grupo decidiu antecipar a saída,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/031.wav,ok,12.93,
31,2,123,O grupo decidiu antecipar a saída,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/031.wav,ok,1106.72,
31,3,456,O grupo decidiu antecipar a saída,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/031.wav,ok,8.28,
32,1,42,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/032.wav,ok,25.0,
32,2,123,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/032.wav,ok,23.62,
32,3,456,"Enquanto aguardávamos o início da palestra, conversamos sobre projetos futuros e oportunidades de pesquisa",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/032.wav,ok,35.77,
33,1,42,O restaurante estava lotado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/033.wav,ok,13.81,
33,2,123,O restaurante estava lotado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/033.wav,ok,7.32,
33,3,456,O restaurante estava lotado,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/033.wav,ok,5.22,
34,1,42,Você já assistiu ao filme que foi lançado na semana passada?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/034.wav,ok,16.28,
34,2,123,Você já assistiu ao filme que foi lançado na semana passada?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/034.wav,ok,643.83,
34,3,456,Você já assistiu ao filme que foi lançado na semana passada?,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/034.wav,ok,17.13,
35,1,42,"Depois de vários testes, conseguimos identificar a origem do problema",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/035.wav,ok,23.27,
35,2,123,"Depois de vários testes, conseguimos identificar a origem do problema",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/035.wav,ok,25.33,
35,3,456,"Depois de vários testes, conseguimos identificar a origem do problema",original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/035.wav,ok,13.85,
36,1,42,A praia estava praticamente vazia naquela manhã de terça-feira,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/036.wav,ok,23.12,
36,2,123,A praia estava praticamente vazia naquela manhã de terça-feira,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/036.wav,ok,27.04,
36,3,456,A praia estava praticamente vazia naquela manhã de terça-feira,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/036.wav,ok,14.39,
37,1,42,O resultado saiu mais cedo do que imaginávamos,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/037.wav,ok,10.9,
37,2,123,O resultado saiu mais cedo do que imaginávamos,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/037.wav,ok,24.89,
37,3,456,O resultado saiu mais cedo do que imaginávamos,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/037.wav,ok,14.05,
38,1,42,Eu precisava apenas de alguns minutos para terminar aquela tarefa,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v1/038.wav,ok,13.77,
38,2,123,Eu precisava apenas de alguns minutos para terminar aquela tarefa,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v2/038.wav,ok,43.74,
38,3,456,Eu precisava apenas de alguns minutos para terminar aquela tarefa,original,fishaudio/fish-speech-1.5,"model.pth (pré-treino Hub, sem LoRA)",Modelo base fish-speech-1.5 sem adaptação regional,refs/4.wav,original/v3/038.wav,ok,21.03,
